Part   Value              Device                  Package                                                      
C1     10uF               C-USC0402               C0402                  
C2     15pF               C-USC0201               C0201                  
C3     15pF               C-USC0201               C0201                  
C4     10uF               C-USC0402               C0402                  
C5     0.1uF              C-USC0201               C0201                  
C6     0.1uF              C-USC0201               C0201                  
C7     0.1uF              C-USC0201               C0201                  
C8     0.1uF              C-USC0201               C0201                  
C9     0.1uF              C-USC0201               C0201                  
C10    0.1uF              C-USC0201               C0201                  
C11    0.1uF              C-USC0201               C0201                  
C12    1uF                C-USC0402               C0402                  
C13    0.1uF              C-USC0201               C0201                  
C14    0.1uF              C-USC0201               C0201                  
C15    1uF                C-USC0402               C0402                  
C16    2.2uF              C-USC0402               C0402                                   
IC1    RP2040_QFN56       RP2040_QFN56            QFN56_7MM_REDUCEDEPAD  
J2     2171790001         2171790001              2171790001_MOL                          
L1     MCEE1005T1R0MHN    L0402                   R0402                                 
R1     10k                R-US_R0201              R0201                  
R2     5.1k               R-US_R0201              R0201                  
R3     1k                 R-US_R0201              R0201                  
R4     10k                R-US_R0201              R0201                  
R6     200                R-US_R0201              R0201                  
R7     22                 R-US_R0201              R0201                  
R8     22                 R-US_R0201              R0201                  
R9     4.7k               R-US_R0201              R0201                  
R10    4.7k               R-US_R0201              R0201                  
R11    5.1k               R-US_R0201              R0201                  
R12    0-ohm for I2C OLED R-US_R0201              R0201                  
R13    10k                R-US_R0201              R0201                  
R14    1k                 R-US_R0201              R0201                                 
S1     GSNAN0T000101      GSNAN0T000101           GSNAN0T000101                           
U$1    ISL9122A           ISL9122A                ISL9122A               
U$25   W25Q128JVYIQ-TR    W25Q128JVYIQ-TR         WLCSP24                
U1     CSD17585F5T        CSD17585F5T             YJK3_TEX                                
Y1     12MHZ              FA-20H 12.0000MD30Z-K3  CRYSTAL_2.5X2                  
